Data,Label
@HMarkwotan Clearly you know nothing about Hitler. You believe the lies told about him. He SUCCEEDED in his original mission!,Fake
@HMarkwotan If you hate Hitler so much why do you keep talking about the '4th Reich?',Fake
'Shocking' Holocaust Study Claims Nazis Killed Up To 20 Million People http://t.co/JsWe6Q0Zv0 via @bi_contributors,Fake
"@WhiteResister @TheNaziEra Ok, but they're playing into the gas chamber hoax &amp; the 'final solution' myth. Not exactly the best thing.",Fake
"Photo: fuehrer3345: scooteraz: Hitler, Goebbels and Magda Goebbels (identifiable from her big hat !) at a... http://t.co/RYhCp3y57F",Fake
@AlfieHeydrich not following you and i'm not jewish.,Fake
@AlfieHeydrich No one quite understands the situation in Ukraine. We're being duped. all the jews there are being used.,Fake
@AlfieHeydrich they're not jewish..................,Fake
@hostmostess The fact that they're behind white genocide is another big reason. And the creators of communism!,Fake
@hostmostess Many reasons. The fact that the jews are behind all forms of degeneracy. And then there's the amount of lies.,Fake
@hostmostess I started researching the holocaust and found that some things in the official story just didn't add up.,Fake
@hostmostess @AitkenKev In Europe people get sent to prison for questioning the holocaust. You're interpreting the picture wrong.,Fake
A really good video about the holohoax. Where's The Teeth?: http://t.co/u8XODAzErO via @YouTube,Fake
"@stellahurt1 Bobby Fischer was a Jew and he said the holocaust is a fake. So maybe he's a good jew. But he's the exception, not the rule.",Fake
"@stellahurt1 Then where are all the good jews, and why aren't they trying to expose the corrupt ones?",Fake
@stellahurt1 I never said he was a demon. I said the jews are demonizing him.,Fake
@stellahurt1 You don't know anything about Hitler.,Fake
@stellahurt1 Still makes no sense. Why WOULDN'T I support Hitler?,Fake
Holocaust Hoax: Science Repudiates Mass Cremation Stories: http://t.co/YGwOQt2ijM via @YouTube,Fake
"@WhiteResister: Adolf Hitler: In the Thicket of the Forest at Artois, 1916 (poem) http://t.co/2iKFMsVaVC",Fake
Just made this video! Go check it out! A Tribute to Adolf Hitler http://t.co/nRJtbpwrGt,Fake
@parasporia @NikSfikas Original pic had Hitler on the bottom. I blacked his photo out because he didn't support gun control.,Fake
According to the jews they're a threat. Neo-Nazi threat in new Ukraine: NEWSNIGHT: http://t.co/HzAQpxwmr0 via @youtube,Fake
Never compare Adolf Hitler with Ocommie again!!! http://t.co/GWrKiwDEFU,Fake
"@DieVersityKills Me too, the REAL holocaust! http://t.co/RQnKSLnjaT",Fake
Don't forget the $6 million lost on Holy Hoax Remembrance Day! #gaschambers #heilhitler #Holohoax http://t.co/9TjintJnD3,Fake
Adolf Hitler - Saviour of Germany: http://t.co/AwAKerCp2d via @youtube,Fake
Holocaust or Holohoax?: http://t.co/0uvQMbm7b8 via @youtube,Fake
Another amazing miracle survivor of the Holohoax http://t.co/hNfut95xjU,Fake
Let's expose this damn #Holohoax #Auschwitz #gaschambers nonsense once and for all! https://t.co/x1B7y6n3ya,Fake
"@way2wonderland Getting closer, but I bet they still scream, ""Holocaust!"" whenever they want money.",Fake
@mynt_t Hollyhoax= Hollywood + Holocaust Hoax,Fake
"Even if the Hollyhoax happened exactly how the kikes claim, I'm not cryin over those Jews. Fuck 'em. #WPWW #HeilHitler #gaschambers",Fake
@netanyahu FUCK YOU!!! #HeilHitler,Fake
Joos keep banning me but I guess I'm back again. #HeilHitler,Fake
"Alright guys I'm back. Looks like I pissed off a few too many Jews, lol. #gaschambers #HeilHitler #WPWW",Fake
@jillpoll @irish4israel @stanleystinks Heil Hitler!,Fake
